Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Romania,Eastern Europe,2016,9567.097782,19702332.0,10619557.0,13230962.0,3432483.0,1.14,1.71,1.16,1.59,68001568315.0,57721740110.0,11372316696.0,19918834755.0,2711839081.0,86.90768,46733.0,10223000.0,115.6782699,22.47896512,2549.079908,807871164.1,230080.0
Russian Federation,Eastern Europe,2016,8745.375117,144342396.0,107050095.0,99343826.0,20040465.0,0.55,0.75,0.59,0.81,191494000000.0,281709000000.0,74602240000.0,50643600000.0,3029620000.0,99.81439,746446.0,24571000.0,157.718498,18.94519321,6838.977107,4997360000.0,16376870.0
Senegal,Africa,2016,1269.040407,14993528.0,6941404.0,8030121.0,459585.0,0.97,1.51,1.14,1.7,4836651910.0,2872612360.0,1338857776.0,1217779680.0,1861432194.0,84.45544,582.0,1210000.0,101.2869961,0.655970089,291.740893,7630754.896,192530.0
Serbia,Eastern Europe,2016,5756.381194,7058322.0,3939250.0,4700815.0,1229782.0,1.21,1.66,1.16,1.55,17630011650.0,14179913202.0,4052758934.0,5055583622.0,2977769918.0,100.5713,31958.0,1281000.0,102.7161171,16.38766731,4298.32213,199746134.6,87460.0
Slovak Republic,Eastern Europe,2016,16505.99806,5430798.0,2922095.0,3811923.0,790078.0,1.16,1.61,1.32,1.77,72376549064.0,73784959375.0,8815180024.0,9243362022.0,247295468.4,97.85217,85.0,2027000.0,128.4435529,24.55972553,5077.443527,686313614.3,48080.0
Slovenia,Western Europe,2016,21622.58068,2065042.0,1115536.0,1378214.0,381635.0,1.21,1.68,1.32,1.78,25949923131.0,27655650425.0,5061812630.0,7194260366.0,59456434.87,99.83801,17825.0,3397000.0,115.0200317,28.41168445,7512.936199,224388233.9,20141.99951
Tanzania,Africa,2016,966.4746224,53050790.0,17152912.0,28079105.0,1360067.0,0.8,1.2,0.87,1.29,8463634731.0,4949692273.0,2176433481.0,3599298550.0,371554458.3,85.29786,27422.0,1233000.0,75.48495237,0.600336706,127.9657254,1402980.0,885800.0
Thailand,Thailand,2016,5978.611454,68971331.0,33415230.0,49209859.0,7591024.0,0.68,0.9,0.71,1.29,177711000000.0,213487000000.0,43511450945.0,63786404939.0,4039789517.0,100.7575,413880.0,32530000.0,173.5054814,10.46667116,3420.35621,3979483476.0,510890.0
Togo,Africa,2016,597.0654589,7509952.0,3051143.0,4150526.0,212418.0,0.71,1.29,0.71,1.25,1999819305.0,1035797748.0,398685472.3,541510576.6,324743944.9,125.1071,10725.0,338000.0,73.30838776,0.649311826,182.251635,182122.2799,54390.0
Tunisia,Africa,2016,3698.058504,11303946.0,7725795.0,7706139.0,885038.0,0.62,0.68,0.73,0.91,18374482084.0,13650114058.0,3010567806.0,3249018482.0,1497462795.0,114.9202,38631.0,5724000.0,126.3459615,5.664102223,1835.768803,17504383.85,155360.0
Turkey,Middle East,2016,10820.63384,79821724.0,59175037.0,53181801.0,6425655.0,1.23,1.9,1.42,2.06,191053000000.0,150161000000.0,22542000000.0,37805000000.0,757000000.0,100.9476,743673.0,30289000.0,94.02943867,13.15291498,3776.382249,764000000.0,769630.0
United Kingdom,Northern Europe,2016,41074.16728,65595565.0,54369540.0,42146413.0,11911088.0,1.49,1.99,1.46,1.92,583762000000.0,402603000000.0,226432000000.0,364033000000.0,2725130995.0,101.3352,1180312.0,35814000.0,119.0555562,38.38070604,5100.587896,11821309424.0,241930.0
Uzbekistan,Western Asia,2016,2567.799207,31847900.0,16130961.0,21487722.0,1319021.0,1.28,1.93,1.03,1.02,11037273348.0,8645168397.0,3443736833.0,1904748495.0,3649084896.0,101.5725,21486.0,2027000.0,73.99520784,8.734755262,1309.134641,6417372.7,425400.0
Zambia,Africa,2016,1280.578447,16363507.0,6944345.0,8523909.0,338840.0,1.16,1.59,1.4,1.68,6538529821.0,6534819286.0,1393289892.0,885102775.4,38464441.0,98.60698,8094.0,956000.0,73.43823048,0.194237673,737.7855359,2138070.836,743390.0
Albania,Eastern Europe,2014,4578.66672,2889104.0,1630119.0,1981897.0,351912.0,1.71,1.79,1.76,1.81,4170432937.0,1239878797.0,2068770733.0,2492332715.0,1089767187.0,104.108,1992.0,3341000.0,115.9979353,7.180321133,2309.366503,21881927.42,27400.0
Algeria,Africa,2014,5493.02559,38923687.0,27332602.0,25690644.0,2231541.0,0.16,0.17,0.27,0.29,59457444971.0,60033584184.0,11807321608.0,3553345533.0,2183686892.0,118.5028,60066.0,2301000.0,111.2386102,4.109815688,1362.871919,143997401.9,2381740.0
Argentina,South America,2014,12334.79825,42669500.0,38990109.0,27315080.0,4529965.0,1.33,1.33,1.52,1.46,62898966094.0,68440435907.0,18037663981.0,13396371828.0,334182352.9,111.4597,134521.0,7165000.0,143.6158316,15.29042819,3074.702071,2098996166.0,2736690.0
Austria,Western Europe,2014,51717.49594,8546356.0,4916377.0,5740266.0,1594717.0,1.55,1.81,1.6,1.81,166436000000.0,167468000000.0,55204948406.0,68626265902.0,371381631.7,101.6282,162576.0,25291000.0,150.345714,27.38179226,8355.841952,1777037546.0,82522.99805
Belarus,Eastern Europe,2014,8318.51269,9474511.0,7266287.0,6618651.0,1345662.0,1.06,0.9,1.06,0.88,38058700000.0,35423300000.0,5761000000.0,7952300000.0,521900000.0,98.30412,21168.0,5374900.0,120.8889669,28.46079751,3679.97884,237300000.0,202973.0078
Belgium,Western Europe,2014,47700.54036,11209057.0,10966157.0,7291041.0,2015071.0,1.69,1.98,1.9,2.09,317989000000.0,310964000000.0,117587000000.0,125407000000.0,246903642.6,103.6481,132976.5296,7887000.0,113.4877626,35.74653262,7709.123078,3404143477.0,30280.0
Benin,Africa,2014,944.931653,10286842.0,4646155.0,5506537.0,332089.0,1.1,1.26,1.03,1.24,3272695477.0,2562237333.0,885382708.3,478600472.4,283923249.5,129.5957,648.0,242000.0,84.18939764,0.441525117,100.2251225,2252116.352,112760.0
Bolivia,South America,2014,3081.878834,10706517.0,7285464.0,6480520.0,709149.0,0.54,0.54,0.7,0.7,9893765587.0,12809705325.0,3026252967.0,1197451339.0,1163553186.0,95.93012,51017.00187,871000.0,97.60728909,1.613811476,742.5383997,68285439.41,1083300.0
Botswana,Africa,2014,7780.638385,2088614.0,1386171.0,1281339.0,77712.0,1.07,1.25,1.06,1.23,7775555933.0,8516802383.0,1230230718.0,984517502.7,4073064.9,103.7176,8304.0,1966000.0,163.2901277,1.593876908,1815.558069,127632065.6,566730.0
Brazil,South America,2014,12112.5903,202763735.0,173346772.0,140699012.0,15697743.0,1.02,1.02,1.27,1.39,230727000000.0,224098000000.0,88072140088.0,39965341780.0,2127744943.0,114.2547,937437.0,6430000.0,138.4511833,11.82082759,2619.960616,5922655347.0,8358140.0
Bulgaria,Eastern Europe,2014,7864.760672,7223938.0,5320503.0,4785445.0,1420362.0,1.51,1.68,1.49,1.69,31577860000.0,27891560000.0,5625240000.0,9024080000.0,1098730000.0,96.66216,11755.0,7311000.0,130.9327974,20.43832945,4708.927458,229820000.0,108560.0
Cambodia,Southeast Asia,2014,1093.496191,15274503.0,3329689.0,9802042.0,613387.0,1.24,1.27,1.34,1.35,12021985932.0,8169580958.0,2083756010.0,3810809306.0,891827245.3,116.8082,14732.0,4503000.0,133.8962191,0.43281932,271.3672582,20506256.61,176520.0
