Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Tunisia,Africa,2012,4152.678587,10847002.0,7291138.0,7503270.0,812593.0,0.69,0.82,0.93,0.94,23101922348.0,17071350446.0,3195932283.0,5076664515.0,1911528222.0,109.8975,37233.0,6999000.0,118.4095753,4.861324816,1408.868552,12804985.41,155360.0
"Venezuela, RB",South America,2012,12985.50533,29362449.0,25875071.0,19030840.0,1720428.0,0.011,0.011,0.023,0.023,65917000000.0,97873000000.0,19428000000.0,2160000000.0,95000000.0,102.3112,78583.16238,988000.0,104.1151279,6.936821999,3304.220299,397000000.0,882050.0
Zambia,Africa,2012,1763.094184,14465121.0,5837255.0,7372139.0,300467.0,1.48,1.52,1.48,1.66,7925533924.0,9520790727.0,1333943758.0,990095738.5,72864000.0,108.1296,8288.0,859000.0,72.75884453,0.103690594,733.2119794,3770201.0,743390.0
Zimbabwe,Africa,2012,1304.969802,13115131.0,4306222.0,7215003.0,391852.0,1.4,1.15,1.52,1.29,6610421644.0,3995772579.0,1775731775.0,340855975.5,2108576219.0,112.5168,11560.36785,1794000.0,96.17835099,0.548259074,608.7625049,9305786.893,386850.0
Algeria,Africa,2010,4480.724539,35977455.0,24299173.0,24198801.0,1963004.0,0.19,0.2,0.32,0.34,38797066194.0,57098374720.0,11847590715.0,3489359714.0,66315665.59,115.3376,53088.0,2070000.0,91.11307345,2.501566606,1016.636669,92466206.42,2381740.0
Angola,Africa,2010,3587.883798,23356246.0,13963065.0,11817707.0,551384.0,0.43,0.39,0.65,0.53,16666858027.0,50594853215.0,18754364334.0,856877283.3,17972037.0,105.781,17060.0,425000.0,40.26060095,0.064222649,206.4544105,6378100.0,1246700.0
Argentina,South America,2010,10385.96443,40788453.0,37055902.0,26010395.0,4158392.0,1.05,0.58,0.96,0.78,54158763702.0,68305873000.0,14620732011.0,12817143361.0,534932803.5,116.9758,92847.50654,6800000.0,139.580018,9.850015718,2877.652653,1712212410.0,2736690.0
Azerbaijan,Western Asia,2010,5842.805784,9054332.0,4835557.0,6452694.0,534050.0,0.56,0.56,0.75,0.74,6306941000.0,25741126000.0,3929451000.0,2493649000.0,1337833000.0,93.7623,9885.0,1280000.0,100.7489875,5.262076415,1603.431374,16531000.0,82655.99609
Bangladesh,South Asia,2010,781.1535936,147575430.0,44954427.0,93328524.0,7042040.0,0.63,0.7,1.09,1.17,25081635495.0,19209407428.0,4389173272.0,2445056547.0,10836030646.0,105.9745,19299.82618,303000.0,46.02655537,0.280920069,247.2633825,17636698.54,130170.0
Benin,Africa,2010,758.4350829,9199259.0,3964237.0,4868625.0,297125.0,1.21,1.03,1.04,1.03,1775176238.0,1281533308.0,514695794.3,376460025.2,127108662.9,120.152,1255.454545,199000.0,76.90743352,0.293871496,95.44246988,2881215.841,112760.0
