Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Panama,North America,2014,12796.07004,3901315.0,2589342.0,2516913.0,287756.0,0.85,1.02,0.96,1.05,25783100000.0,16840800000.0,4940600000.0,11437600000.0,651900000.0,99.13537,132689.7248,1745000.0,177.0195888,7.94770685,2064.175797,98700000.0,74340.0
Poland,Eastern Europe,2014,14347.91458,38011735.0,22960228.0,26602465.0,5777373.0,1.39,1.73,1.42,1.74,214919000000.0,210628000000.0,36677000000.0,48723000000.0,3669000000.0,100.1411,77094.0,16000000.0,149.3926992,18.99093512,3971.799761,2945000000.0,306190.0
Russian Federation,Eastern Europe,2014,14100.7291,143819666.0,106354643.0,100929441.0,19217775.0,0.75,1.0,0.81,0.99,307875000000.0,496806000000.0,121022000000.0,65744490000.0,3637400000.0,97.69432,747804.0,32421000.0,152.7878864,17.24714162,6602.657525,8021370000.0,16376870.0
Serbia,Eastern Europe,2014,6600.056809,7130576.0,3963388.0,4793305.0,1170766.0,1.66,1.8,1.55,1.78,19585489257.0,14137566301.0,4433477280.0,5042999357.0,3458710068.0,101.1312,28944.0,1029000.0,105.0199314,13.3854722,4271.744667,224594091.7,87460.0
Slovak Republic,Eastern Europe,2014,18670.93017,5418649.0,2926070.0,3855757.0,739702.0,1.61,1.85,1.77,1.98,79435240499.0,83138732917.0,8902492825.0,9142565227.0,274532084.5,99.76804,721.068,1475000.0,117.486212,21.94251661,5137.073835,672289268.0,48080.0
Slovenia,Western Europe,2014,24214.92207,2061980.0,1104335.0,1398717.0,363569.0,1.68,1.77,1.78,1.86,28919875146.0,30487410559.0,5632514469.0,7564601322.0,56940405.47,99.71509,16557.0,2675000.0,112.522346,26.88359013,6727.999302,241837673.5,20140.0
Ukraine,Eastern Europe,2014,3104.658296,45271947.0,31223156.0,31410438.0,7074102.0,1.16,1.25,1.17,1.35,57680000000.0,50552000000.0,12362000000.0,14884000000.0,2171000000.0,99.04094,47927.4,12712000.0,144.2788474,9.30621027,3418.585024,552000000.0,579290.0
United Kingdom,Northern Europe,2014,47417.63505,64613160.0,53218629.0,41830603.0,11454639.0,1.99,2.27,1.92,2.17,679841000000.0,480703000000.0,236269000000.0,392606000000.0,3154048673.0,102.2555,1064175.7,32613000.0,119.9282021,36.27131583,5129.527793,12175623774.0,241930.0
Albania,Eastern Europe,2012,4247.614279,2900401.0,1575788.0,1972617.0,330283.0,1.79,1.4,1.81,1.46,3981753339.0,1123281061.0,1870592893.0,2432303929.0,1267570515.0,97.58513,10309.17914,3156000.0,120.1058579,5.493573307,2118.327776,23362460.05,27400.0
Austria,Western Europe,2012,48567.69529,8429991.0,4817487.0,5678350.0,1540538.0,1.81,1.55,1.81,1.63,164244000000.0,160182000000.0,44107796911.0,57912990819.0,372769718.5,100.5991,162715.736,24151000.0,159.8169515,25.05461216,8548.882199,1955209022.0,82554.00391
