Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Azerbaijan,AZE,..,0.39,0.74,..,0.75,..,0.76,..,1.21,..,0.56,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,1.05,..,0.92,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Bahrain,BHR,..,0.27,0.21,..,0.21,..,0.27,..,..,..,0.43,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Bangladesh,BGD,..,0.46,1.17,..,1.09,..,1.15,..,1.3,..,1.12,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Barbados,BRB,..,0.95,1,..,1.25,..,..,..,1.81,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Belarus,BLR,..,0.55,1.33,..,1.08,..,0.88,..,1.06,..,0.6,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Belgium,BEL,..,0.96,1.5,..,1.87,..,2.09,..,1.9,..,1.43,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Belize,BLZ,..,..,0.7,..,1.13,..,1.44,..,1.37,..,1.13,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Benin,BEN,..,0.48,1.03,..,1.04,..,1.24,..,1.03,..,0.72,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Bhutan,BTN,..,0.58,0.91,..,1.08,..,1.19,..,1.04,..,0.98,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Bolivia,BOL,..,0.8,0.68,..,0.7,..,0.7,..,0.7,..,0.71,..,..,..
